household_ref,region,age_band,device_type,segment
H0291,south,45-59,tablet,premium
H0292,south,45-59,tablet,mainstream
H0293,south,45-59,tablet,premium
H0294,south,45-59,tablet,premium
H0295,south,45-59,tablet,premium
H0296,south,45-59,tablet,value
H0297,south,60+,mobile,value
H0298,south,60+,mobile,value
H0299,south,60+,mobile,value
H0300,south,60+,mobile,premium
H0301,south,60+,mobile,mainstream
H0302,south,60+,mobile,mainstream
H0303,south,60+,mobile,premium
H0304,south,60+,mobile,value
H0305,south,60+,mobile,premium
H0306,south,60+,desktop,value
H0307,south,60+,desktop,value
H0308,south,60+,desktop,premium
H0309,south,60+,desktop,value
H0310,south,60+,desktop,premium
H0311,south,60+,desktop,premium
H0312,south,60+,desktop,value
H0313,south,60+,desktop,mainstream
H0314,south,60+,desktop,mainstream
H0315,south,60+,tablet,mainstream
H0316,south,60+,tablet,mainstream
H0317,south,60+,tablet,value
H0318,south,60+,tablet,premium
H0319,south,60+,tablet,mainstream
H0320,south,60+,tablet,mainstream
H0321,south,60+,tablet,mainstream
H0322,south,60+,tablet,value
H0323,south,60+,tablet,premium
H0324,west,18-29,mobile,value
H0325,west,18-29,mobile,mainstream
H0326,west,18-29,mobile,premium
H0327,west,18-29,mobile,mainstream
H0328,west,18-29,mobile,premium
H0329,west,18-29,mobile,value
H0330,west,18-29,mobile,value
H0331,west,18-29,mobile,premium
H0332,west,18-29,mobile,mainstream
H0333,west,18-29,desktop,value
H0334,west,18-29,desktop,mainstream
H0335,west,18-29,desktop,premium
H0336,west,18-29,desktop,value
H0337,west,18-29,desktop,value
H0338,west,18-29,desktop,value
H0339,west,18-29,desktop,premium
H0340,west,18-29,desktop,mainstream
H0341,west,18-29,desktop,premium
H0342,west,18-29,tablet,mainstream
H0343,west,18-29,tablet,value
H0344,west,18-29,tablet,value
H0345,west,18-29,tablet,mainstream
H0346,west,18-29,tablet,premium
H0347,west,18-29,tablet,mainstream
H0348,west,18-29,tablet,value
H0349,west,18-29,tablet,value
H0350,west,18-29,tablet,value
H0351,west,30-44,mobile,value
H0352,west,30-44,mobile,mainstream
H0353,west,30-44,mobile,premium
H0354,west,30-44,mobile,value
H0355,west,30-44,mobile,mainstream
H0356,west,30-44,mobile,premium
H0357,west,30-44,mobile,premium
H0358,west,30-44,mobile,value
H0359,west,30-44,mobile,premium
H0360,west,30-44,desktop,mainstream
H0361,west,30-44,desktop,premium
H0362,west,30-44,desktop,premium
H0363,west,30-44,desktop,mainstream
H0364,west,30-44,desktop,mainstream
H0365,west,30-44,desktop,mainstream
H0366,west,30-44,desktop,premium
H0367,west,30-44,desktop,mainstream
H0368,west,30-44,desktop,mainstream
H0369,west,30-44,tablet,premium
H0370,west,30-44,tablet,value
H0371,west,30-44,tablet,value
H0372,west,30-44,tablet,value
H0373,west,30-44,tablet,value
H0374,west,30-44,tablet,mainstream
H0375,west,30-44,tablet,premium
H0376,west,30-44,tablet,value
H0377,west,30-44,tablet,mainstream
H0378,west,45-59,mobile,mainstream
H0379,west,45-59,mobile,mainstream
H0380,west,45-59,mobile,mainstream
H0381,west,45-59,mobile,premium
H0382,west,45-59,mobile,value
H0383,west,45-59,mobile,premium
H0384,west,45-59,mobile,premium
H0385,west,45-59,mobile,value
H0386,west,45-59,mobile,premium
H0387,west,45-59,desktop,mainstream
H0388,west,45-59,desktop,premium
H0389,west,45-59,desktop,mainstream
H0390,west,45-59,desktop,premium
H0391,west,45-59,desktop,premium
H0392,west,45-59,desktop,premium
H0393,west,45-59,desktop,premium
H0394,west,45-59,desktop,mainstream
H0395,west,45-59,desktop,premium
H0396,west,45-59,tablet,mainstream
H0397,west,45-59,tablet,mainstream
H0398,west,45-59,tablet,premium
H0399,west,45-59,tablet,premium
H0400,west,45-59,tablet,value
H0401,west,45-59,tablet,value
H0402,west,45-59,tablet,premium
H0403,west,45-59,tablet,value
H0404,west,45-59,tablet,mainstream
H0405,west,60+,mobile,premium
H0406,west,60+,mobile,mainstream
H0407,west,60+,mobile,value
H0408,west,60+,mobile,mainstream
H0409,west,60+,mobile,value
H0410,west,60+,mobile,mainstream
H0411,west,60+,mobile,mainstream
H0412,west,60+,mobile,value
H0413,west,60+,mobile,premium
H0414,west,60+,desktop,premium
H0415,west,60+,desktop,premium
H0416,west,60+,desktop,value
H0417,west,60+,desktop,mainstream
H0418,west,60+,desktop,mainstream
H0419,west,60+,desktop,mainstream
H0420,west,60+,desktop,value
H0421,west,60+,desktop,value
H0422,west,60+,desktop,mainstream
H0423,west,60+,tablet,premium
H0424,west,60+,tablet,mainstream
H0425,west,60+,tablet,premium
H0426,west,60+,tablet,mainstream
H0427,west,60+,tablet,premium
H0428,west,60+,tablet,premium
H0429,west,60+,tablet,premium
H0430,west,60+,tablet,mainstream
H0431,west,60+,tablet,mainstream
H0432,northeast,18-29,ctv,value
H0433,midwest,30-44,ctv,mainstream
H0434,south,45-59,ctv,premium
H0435,west,60+,ctv,value
H0436,northeast,18-29,ctv,mainstream
H0437,midwest,30-44,ctv,premium
H0438,south,45-59,ctv,value
